filename,hash,size,valid_opcodes_count,opcode_ratio,unique_opcodes,tia_accesses,riot_accesses,riot_timer_accesses,riot_io_accesses,branch_count,jump_count,composite_score
Starpath - Sweat! - The Decathalon Game.bin,e51c2338,16896,15333,0.9074928977272727,42,530,62,49,13,611,241,0.9768732244318181
Starpath - Sweat! - The Decathalon Game.bin,e51c2338,16896,15333,0.9074928977272727,42,530,62,49,13,611,241,0.9768732244318181
SP-DL.BIN,b2a6f316,8192,7140,0.87158203125,57,448,99,82,17,373,89,0.9678955078125
SP-DL.BIN,b2a6f316,8192,7140,0.87158203125,57,448,99,82,17,373,89,0.9678955078125
Starpath - Escape from the Mindmaster.bin,81f4f028,33792,29175,0.8633700284090909,91,757,111,83,28,1322,460,0.9658425071022727
Starpath - Escape from the Mindmaster.bin,81f4f028,33792,29175,0.8633700284090909,91,757,111,83,28,1322,460,0.9658425071022727
Xevious.bin,c6688781,8192,6871,0.8387451171875,110,180,55,41,14,287,131,0.959686279296875
Xevious.bin,c6688781,8192,6871,0.8387451171875,110,180,55,41,14,287,131,0.959686279296875
Starpath - Survival Island.bin,045035f9,25344,21127,0.8336095328282829,92,1001,226,168,58,1325,434,0.9584023832070707
Starpath - Survival Island.bin,045035f9,25344,21127,0.8336095328282829,92,1001,226,168,58,1325,434,0.9584023832070707
Super Baseball.bin,7adbcf78,16384,13586,0.8292236328125,90,358,109,90,19,859,325,0.957305908203125
Super Baseball.bin,7adbcf78,16384,13586,0.8292236328125,90,358,109,90,19,859,325,0.957305908203125
Starpath - Phaser Patrol.bin,7dcbfd2a,8448,6968,0.8248106060606061,114,237,58,56,2,580,132,0.9562026515151516
Starpath - Phaser Patrol.bin,7dcbfd2a,8448,6968,0.8248106060606061,114,237,58,56,2,580,132,0.9562026515151516
Starpath - Communist Mutants From Space.bin,2c8835ae,8448,6957,0.8235085227272727,105,286,78,43,35,541,179,0.9558771306818181
Starpath - Communist Mutants From Space.bin,2c8835ae,8448,6957,0.8235085227272727,105,286,78,43,35,541,179,0.9558771306818181
Starpath - Sword Of Saros.bin,528400fa,8448,6902,0.8169981060606061,102,272,152,83,69,595,194,0.9542495265151516
Starpath - Sword Of Saros.bin,528400fa,8448,6902,0.8169981060606061,102,272,152,83,69,595,194,0.9542495265151516
Ghostbusters II.bin,c2b5c50c,16384,13380,0.816650390625,104,492,117,99,18,790,217,0.95416259765625
Ghostbusters II.bin,c2b5c50c,16384,13380,0.816650390625,104,492,117,99,18,790,217,0.95416259765625
Cosmic Corridor.bin,f367e586,4096,3344,0.81640625,105,177,60,52,8,818,114,0.9541015625
Cosmic Corridor.bin,f367e586,4096,3344,0.81640625,105,177,60,52,8,818,114,0.9541015625
Starpath - Rabbit Transit.bin,fb4ca865,8448,6893,0.8159327651515151,106,489,72,46,26,414,180,0.9539831912878787
Starpath - Rabbit Transit.bin,fb4ca865,8448,6893,0.8159327651515151,106,489,72,46,26,414,180,0.9539831912878787
Starpath - Party Mix.bin,012b8e6e,25344,20647,0.8146701388888888,84,840,129,117,12,1207,270,0.9536675347222221
Starpath - Party Mix.bin,012b8e6e,25344,20647,0.8146701388888888,84,840,129,117,12,1207,270,0.9536675347222221
Sinistar.bin,ea38fcfc,8192,6670,0.814208984375,108,174,83,69,14,387,158,0.95355224609375
Sinistar.bin,ea38fcfc,8192,6670,0.814208984375,108,174,83,69,14,387,158,0.95355224609375
labyrinth.bin,925dda3c,8448,6874,0.8136837121212122,88,263,112,99,13,471,120,0.953420928030303
labyrinth.bin,925dda3c,8448,6874,0.8136837121212122,88,263,112,99,13,471,120,0.953420928030303
Acid Drop.bin,17ee23e5,16384,13248,0.80859375,91,1132,378,128,250,966,566,0.9521484375
Acid Drop.bin,17ee23e5,16384,13248,0.80859375,91,1132,378,128,250,966,566,0.9521484375
ElevatorAction.bin,71f8bacf,8192,6617,0.8077392578125,65,257,84,76,8,718,109,0.951934814453125
ElevatorAction.bin,71f8bacf,8192,6617,0.8077392578125,65,257,84,76,8,718,109,0.951934814453125
Spitfire Attack.bin,cef2287d,4096,3286,0.80224609375,98,218,82,59,23,464,109,0.9505615234375
Spitfire Attack.bin,cef2287d,4096,3286,0.80224609375,98,218,82,59,23,464,109,0.9505615234375
Freeway (2).bin,851cc1f3,4096,3282,0.80126953125,106,346,72,50,22,296,86,0.9503173828125
RealSports Soccer.bin,08f853e8,8192,6564,0.80126953125,101,232,125,121,4,425,219,0.9503173828125
Freeway (2).bin,851cc1f3,4096,3282,0.80126953125,106,346,72,50,22,296,86,0.9503173828125
RealSports Soccer.bin,08f853e8,8192,6564,0.80126953125,101,232,125,121,4,425,219,0.9503173828125
Motorodeo.bin,b1e2d5dc,16384,13113,0.80035400390625,104,556,242,196,46,967,527,0.9500885009765625
Motorodeo.bin,b1e2d5dc,16384,13113,0.80035400390625,104,556,242,196,46,967,527,0.9500885009765625
Starpath - Frogger (Official version by Sega).bin,c73ae5ba,8448,6761,0.8003077651515151,95,362,95,61,34,389,168,0.9500769412878787
Starpath - Frogger (Official version by Sega).bin,c73ae5ba,8448,6761,0.8003077651515151,95,362,95,61,34,389,168,0.9500769412878787
Super Futebol.bin,2447e17a,8192,6551,0.7996826171875,101,232,125,121,4,424,225,0.949920654296875
Super Futebol.bin,2447e17a,8192,6551,0.7996826171875,101,232,125,121,4,424,225,0.949920654296875
Vg_survi.bin,cf9069f9,4096,3275,0.799560546875,104,197,53,49,4,334,79,0.94989013671875
Vg_survi.bin,cf9069f9,4096,3275,0.799560546875,104,197,53,49,4,334,79,0.94989013671875
Flash Gordon.bin,8786c1e5,4096,3267,0.797607421875,110,231,64,51,13,364,54,0.94940185546875
Flashgrd.bin,8786c1e5,4096,3267,0.797607421875,110,231,64,51,13,364,54,0.94940185546875
SpaceAdventure_Zellers.BIN,8786c1e5,4096,3267,0.797607421875,110,231,64,51,13,364,54,0.94940185546875
Flash Gordon.bin,8786c1e5,4096,3267,0.797607421875,110,231,64,51,13,364,54,0.94940185546875
Flashgrd.bin,8786c1e5,4096,3267,0.797607421875,110,231,64,51,13,364,54,0.94940185546875
SpaceAdventure_Zellers.BIN,8786c1e5,4096,3267,0.797607421875,110,231,64,51,13,364,54,0.94940185546875
Starpath - Dragonstomper.bin,90ccf4f3,25344,20212,0.7975063131313131,109,467,210,174,36,1335,549,0.9493765782828283
Starpath - Dragonstomper.bin,90ccf4f3,25344,20212,0.7975063131313131,109,467,210,174,36,1335,549,0.9493765782828283
SpaceMaster X-7.bin,45040679,4096,3259,0.795654296875,103,200,55,47,8,339,60,0.94891357421875
SpaceMaster X-7.bin,45040679,4096,3259,0.795654296875,103,200,55,47,8,339,60,0.94891357421875
Pick 'n Pile.bin,da79aad1,16384,13022,0.7947998046875,89,787,129,129,0,975,697,0.948699951171875
