ROM,TIA_Count,RIOT_Count,RIOT_Timer,RIOT_IO,Branches,Jumps,Opcodes,Score
2Pak Black - Challenge - Surfing.bin,512,211,164,47,800,332,151,0.8699
2Pak Green - Hoppy - Alien Force.bin,634,193,136,57,860,255,151,0.8726
2Pak Yellow - Star Warrior - Frogger.bin,430,119,97,22,857,281,151,0.8684
32-in-1 (PAL).bin,3453,1702,1267,435,5928,1495,151,0.9417
3D Tic-Tac-Toe (1).bin,89,97,90,7,199,70,121,0.9341
3D Tic-Tac-Toe (2).bin,178,194,180,14,398,140,121,0.9341
3D Tic-Tac-Toe (32 in 1) (PAL).bin,89,97,90,7,199,71,121,0.9341
A Misterious Thief (CCE).bin,347,101,93,8,367,74,145,0.9360
A-Team.bin,314,253,216,37,583,110,151,0.9397
Acid Drop.bin,1176,514,238,276,966,566,143,0.9521
Action Man.bin,400,95,91,4,370,140,141,0.9386
Adventure.bin,156,81,38,43,345,152,140,0.9271
Adventures of Tron.bin,214,49,43,6,360,111,141,0.9484
AdventuresOnGX12.BIN,216,49,43,6,359,113,141,0.9489
Air Raid.bin,169,51,28,23,266,127,141,0.9239
Air Raiders.bin,245,31,24,7,361,98,139,0.9431
Air-Sea Battle (1).bin,100,106,82,24,212,32,125,0.9412
Air-Sea Battle (2).bin,200,212,164,48,424,64,125,0.9412
Air-Sea Battle (32 in 1) (PAL).bin,102,104,80,24,211,32,129,0.9412
Airlock.bin,321,59,54,5,305,59,129,0.9413
Alien's Return.bin,123,104,87,17,566,179,141,0.9385
Alien.bin,188,93,75,18,359,68,148,0.9370
AlligatorPeople.bin,213,82,63,19,309,80,140,0.9403
Alpha Beam with Ernie.bin,488,106,62,44,533,258,151,0.9274
Amidar.bin,299,176,172,4,331,120,135,0.9444
Angling.bin,160,62,48,14,164,28,129,0.9438
Apples and Dolls (CCE).bin,232,64,42,22,288,74,143,0.9206
Aquaventure.bin,414,131,74,57,575,172,150,0.9390
Armor Ambush.bin,139,81,57,24,247,109,139,0.9324
Artillery Duel (1).bin,389,251,197,54,643,152,146,0.9311
Assault.bin,175,99,75,24,348,132,146,0.9377
Asterix.bin,202,222,163,59,455,339,150,0.9462
ASTEROID.BIN,222,140,97,43,629,189,150,0.9543
Asteroids.bin,272,145,100,45,685,202,150,0.9323
ASTRBLST.BIN,141,46,34,12,321,163,136,0.9457
Astro War.bin,239,31,28,3,319,107,141,0.9567
Astroblast.bin,141,46,34,12,321,163,136,0.9457
Astrowar.bin,239,31,28,3,319,107,141,0.9567
